localidad,hora,especie,escuchado_visto,numero,notas,,
Oski Lodge intersection,6:56,Tropical Kingbird,V,2,on fence,,
Oski Lodge intersection,6:56,Barred Antshrike,V,1,,,
Oski Lodge intersection,6:56,Yellow Warbler,V,1,,,
Oski Lodge intersection,6:57,White-winged Dove,V,2,,,
Oski Lodge intersection,6:57,House Wren,V,1,,,
Oski Lodge intersection,6:58,Rufous-tailed Hummingbird,V,1,,,
Oski Lodge intersection,6:59,Morelet's Seedeater,V,1,,,
Oski Lodge intersection,7:00,Scarlet-rumped Tanager,V,2,,,
Oski Lodge intersection,7:02,Keel-billed Toucan,V,1,,,
Oski Lodge intersection,7:02,Hoffmann's Woodpecker,V,1,,, 
Oski Lodge intersection,7:03,Black Vulture,V,1,,,
Oski Lodge intersection,7:04,Red-legged Honeycreeper,V,1,in orange tree,,
Oski Lodge intersection,7:05,Montezuma Oropendola,E,1,,,
Oski Lodge intersection,7:05,Turkey Vulture,V,1,,,
Oski Lodge intersection,7:06,Variable Seedeater,V,1,,,
Oski Lodge Intersection-Río Pénjamo bridge,7:10,Gray-capped Flycatcher,V,1,,,
Oski Lodge Intersection-Río Pénjamo bridge,7:12,Tropical Kingbird,V,1,,,
Oski Lodge Intersection-Río Pénjamo bridge,7:12,Red-lored Parrot,V,5,,,
Oski Lodge Intersection-Río Pénjamo bridge,7:13,Red-lored Parrot,V,2,,,
Oski Lodge Intersection-Río Pénjamo bridge,7:13,Variable Seedeater,V,2,,,
Oski Lodge Intersection-Río Pénjamo bridge,7:13,Tropical Kingbird,V,4,driving,,
Oski Lodge Intersection-Río Pénjamo bridge,7:14,Bananaquit,V,2,driving,,
Oski Lodge Intersection-Río Pénjamo bridge,7:14,Yellow-faced Grassquit,V,1,,,
Oski Lodge Intersection-Río Pénjamo bridge,7:14,Buff-throated Saltator,V,1,,,
Oski Lodge Intersection-Río Pénjamo bridge,7:15,White-winged Dove,V,2,,,
Oski Lodge Intersection-Río Pénjamo bridge,7:16,House Wren,V,2,,,
Oski Lodge Intersection-Río Pénjamo bridge,7:16,Clay-colored Thrush,V,1,,,
Oski Lodge Intersection-Río Pénjamo bridge,7:16,Great-tailed Grackle,V,1,,,
Oski Lodge Intersection-Río Pénjamo bridge,7:17,White-tipped Dove,V,1,,,
Río Pénjamo bridge,7:18,Great Kiskadee,V,1,,,
Río Pénjamo bridge,7:22,Mangrove Swallow,V,2,,,
Buenos Aires: school/police station,7:25,Blue-and-white Swallow,V,18,,,
Buenos Aires: school/police station,7:25,Southern Rough-winged Swallow,V,7,,,
Buenos Aires: school/police station,7:25,Tropical Kingbird,V,1,,,
Buenos Aires: school/police station,7:26,Great-tailed Grackle,V,1,,,
Buenos Aires: school/police station,7:26,Southern Lapwing,V,5,,,
Buenos Aires: school/police station,7:26,Montezuma Oropendola,E/V,3,,,
Buenos Aires: school/police station,7:27,Mangrove Swallow,V,1,,,
Buenos Aires-Río Pénjamo turnout,7:31,Groove-billed Ani,V,1,,,
Buenos Aires-Río Pénjamo turnout,7:31,Ruddy Ground-Dove,V,1,,,
Buenos Aires-Río Pénjamo turnout,7:33,Great Kiskadee,E,1,,,
Buenos Aires-Río Pénjamo turnout,7:34,Yellow Warbler,V,2,male and female,,
Buenos Aires-Río Pénjamo turnout,7:34,Tropical Kingbird,V,1,,,
Buenos Aires-Río Pénjamo turnout,7:34,Variable Seedeater,V,6,,,
Buenos Aires-Río Pénjamo turnout,7:35,Yellow-faced Grassquit,V,2,,,
Buenos Aires-Río Pénjamo turnout,7:36,Yellow-throated Vireo,V,1,,,
Buenos Aires-Río Pénjamo turnout,7:36,Black-and-white Warbler,V,1,,,
Río Pénjamo turnout,7:41,Blue-gray Tanager,E,1,Merlin ID,,
Río Pénjamo turnout,7:43,Barred Antshrike,E,1,,,
Río Pénjamo turnout,7:45,Black-cheeked Woodpecker,V,1,,,
Río Pénjamo turnout,7:50,Scarlet-rumped Tanager,V,3,,,
Río Pénjamo turnout,7:56,Yellow-throated Vireo,V,1,,,
Río Pénjamo turnout,7:56,Variable Seedeater,V,6,,,
Río Pénjamo turnout,7:57,Olive-backed Euphonia,V,1,,,
Río Pénjamo turnout,NA,Yellow Warbler,V,1,,,
Río Pénjamo turnout,NA,Rufous-tailed Hummingbird,V,1,,,
Río Pénjamo turnout,NA,Black Vulture,V,1,,,
Río Pénjamo turnout,NA,Orange-chinned Parakeet,V,4,,,
Río Pénjamo turnout,8:03,Bay-headed Tanager,V,1,,,
Río Pénjamo turnout,8:05,Black-striped Sparrow,V,1,,,
Río Pénjamo turnout,8:08,Social Flycatcher,V,1,,,
Río Pénjamo turnout,8:09,Common Tody-Flycatcher,V,1,,,
Río Pénjamo turnout,8:14,Red-lored Parrot,E/V,2,,,
Río Pénjamo turnout,8:14,Chestnut-sided Warbler,V,1,,,
Río Pénjamo turnout,8:14,Black-headed Tody-Flycatcher,V,2,,,
Río Pénjamo turnout,8:15,Blue-gray Tanager,V,1,,,
Río Pénjamo turnout,8:16,Social Flycatcher,V,1,,,
Río Pénjamo turnout,8:17,Chestnut-sided Warbler,V,2,,,
Río Pénjamo turnout,8:17,Rufous-tailed Hummingbird,V,1,,,
Río Pénjamo turnout,8:22,Yellow Tyrannulet,V,4,,,
Río Pénjamo turnout,8:22,Barred Antshrike,V,2,,,
Río Pénjamo turnout,8:27,Morelet's Seedeater,V,1,,,
Río Pénjamo turnout,8:29,Golden-hooded Tanager,V,1,,,
Río Pénjamo turnout,8:30,Golden-hooded Tanager,V,2,,,
Río Pénjamo turnout,8:35,Orange-chinned Parakeet,E/V,2,,,
Río Pénjamo turnout,8:37,Southern Rough-winged Swallow,V,2,,,
Río Pénjamo turnout,8:40,Green Honeycreeper,V,1,,,
Río Pénjamo turnout,8:40,Buff-throated Saltator,V,1,,,
Río Pénjamo turnout,8:41,Stripe-throated Hermit,V,1,,,
Río Pénjamo turnout,8:40,Yellow-throated Euphonia,V,1,,,
Río Pénjamo turnout,8:45,Laughing Falcon,E,2,,,
Río Pénjamo turnout,8:46,White-collared Manakin,V,1,,,
Río Pénjamo turnout,8:47,Gray-capped Flycatcher,V,2,,,
Río Pénjamo turnout,8:51,White-necked Jacobin,V,1,,,
Río Pénjamo turnout,8:52,Barred Antshrike,V,1,female,,
Río Pénjamo turnout,8:53,Scarlet-rumped Tanager,V,5,,,
Río Pénjamo turnout,8:56,Baltimore Oriole,V,1,male,,
