localidad,hora,especie,escuchado_visto,número,notas
paved road,5:21,Common Pauraque,V,1,paved road
paved road,5:23,Common Pauraque,V,1,paved road
Lower Río Murciélago,5:26,Laughing Falcon,A,2,
Lower Río Murciélago,5:26,Ferruginous Pygmy-Owl,A,1,
Lower Río Murciélago,5:34,Yellow-naped Parrot,A,1,
Lower Río Murciélago,5:37,Common Black-Hawk,A,1,
Lower Río Murciélago,5:38,Common Pauraque,A,1,
Lower Río Murciélago,5:43,Bright-rumped Attila,A,1,
Lower Río Murciélago,5:45,Yellow-naped Parrot,V,2,flying
Lower Río Murciélago,5:46,Common Pauraque,V,1,flying
Lower Río Murciélago,5:46,Yellow-naped Parrot,A,1,
Lower Río Murciélago,5:47,Yellow-naped Parrot,V,2,flying
Lower Río Murciélago,5:49,Hoffman's Woodpecker,A,1,
Lower Río Murciélago,5:50,Yellow-naped Parrot,V,2,flying
Lower Río Murciélago,5:53,Yellow-naped Parrot,A,2,
Lower Río Murciélago,5:53,Orange-chinned Parakeet,V,14,
Lower Río Murciélago,5:53,Yellow-naped Parrot,V,2,flying
Lower Río Murciélago,5:53,Yellow-naped Parrot,V,2,flying
Lower Río Murciélago,5:54,Ringed Kingfisher,V,1,flying and calling
Lower Río Murciélago,5:56,Cattle Egret,V,3,flying
Lower Río Murciélago,5:57,Dusky-capped Flycatcher,A,1,
Lower Río Murciélago,5:58,Ringed Kingfisher,V,1,flying
Lower Río Murciélago,5:58,Cattle Egret,V,12,flying
Lower Río Murciélago,5:58,Yellow-naped Parrot,V,1,flying
Lower Río Murciélago,5:58,Wood Stork,V,1,flying
Lower Río Murciélago,6:01,Black Vulture,V,2,flying
Lower Río Murciélago,6:01,Cattle Egret,V,1,flying
Lower Río Murciélago,6:01,Magnificent Frigatebird,V,3,flying
Lower Río Murciélago,6:02,Brown Pelican,V,95,flying in a v shape
Lower Río Murciélago,6:02,White-fronted Parrot,V,2,flying
Lower Río Murciélago,6:02,White Ibis,V,6,flying
Lower Río Murciélago,6:03,Orange-chinned Parakeet,V,2,flying
Lower Río Murciélago,6:04,White-fronted Parrot,V,3,flying
Lower Río Murciélago,6:05,Yellow-naped Parrot,V,11,flying
Lower Río Murciélago,6:05,Great Kiskadee,A,1,
Lower Río Murciélago,6:06,Yellow-naped Parrot,V,2,flying
Lower Río Murciélago,6:07,Cattle Egret,V,12,flying
Lower Río Murciélago,6:07,Great Kiskadee,A,7,
