nombre_en_ingles,aguacaliente,campo_aterrizaje_interamericana,argelia,cafetal_arriba,cafetal_lejos,casona,estero_real,junquillal,laguna_escondida,murcielago_parcelas,nancite,sr_area_admin,sr_siempre_verde,total
Thicket Tinamou,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,7
Black-bellied Whistling-Duck,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Muscovy Duck,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Blue-winged Teal,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Crested Guan,NA,NA,2,1,6,2,8,NA,NA,2,2,NA,3,26
Great Curassow,NA,NA,11,3,6,2,2,NA,NA,4,NA,3,NA,31
Least Grebe,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3
Pale-vented Pigeon,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Red-billed Pigeon,NA,3,NA,NA,1,NA,2,1,NA,5,NA,NA,2,14
Short-billed Pigeon,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
Inca Dove,5,16,4,NA,1,2,NA,6,NA,8,NA,6,1,49
Common Ground Dove,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Ruddy Ground Dove,NA,3,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,6
White-tipped Dove,NA,9,12,6,5,4,10,7,NA,7,NA,NA,1,61
White-winged Dove,3,156,19,NA,1,NA,NA,NA,1,14,NA,NA,NA,194
Mourning Dove,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Groove-billed Ani,NA,14,5,NA,NA,NA,4,NA,NA,5,NA,2,NA,30
Lesser Ground-Cuckoo,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Squirrel Cuckoo,NA,5,1,6,5,2,3,1,NA,5,NA,1,2,31
Mangrove Cuckoo,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Lesser Nighthawk,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6
Common Pauraque,NA,4,1,5,2,NA,5,5,NA,11,NA,NA,1,34
Northern Potoo,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
Stripe-throated Hermit,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,6
Green-breasted Mango,NA,7,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,10
Plain-capped Starthroat,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,11
Ruby-throated Hummingbird,NA,4,NA,1,NA,NA,NA,4,1,NA,NA,NA,1,11
Canivet's Emerald,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,3,1,9
Scaly-breasted Hummingbird,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
Blue-vented Hummingbird,NA,7,NA,2,3,NA,NA,NA,NA,3,NA,NA,2,17
Cinnamon Hummingbird,1,3,NA,1,NA,NA,7,4,NA,1,NA,NA,NA,17
Rufous-tailed Hummingbird,NA,1,NA,3,NA,NA,NA,NA,NA,3,NA,4,NA,11
Blue-throated Goldentail,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,7
Rufous-necked Wood-Rail,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Russet-naped Wood-Rail,NA,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,5
Purple Gallinule,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Double-striped Thick-knee,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Black-necked Stilt,1,NA,4,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,11
American Oystercatcher,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Black-bellied Plover,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
