nombre_en_ingles,EB_Cacao,Nuevo_Mundo,Pitilla,los_angeles_san_gerardo,total
Little Tinamou,1,NA,NA,NA,1
Thicket Tinamou,3,NA,NA,NA,3
Crested Guan,5,NA,NA,7,12
Great Curassow,1,NA,1,NA,2
Lesser Ground-Cuckoo,3,NA,NA,NA,3
White-collared Swift,3,NA,NA,NA,3
Green Hermit,1,NA,NA,NA,1
Stripe-throated Hermit,1,NA,NA,NA,1
Stripe-tailed Hummingbird,2,NA,NA,NA,2
Cinnamon Hummingbird,1,NA,NA,1,2
Sunbittern,1,NA,1,NA,2
Ornate Hawk-Eagle,1,NA,NA,NA,1
Gray Hawk,1,1,NA,1,3
Broad-winged Hawk,1,NA,NA,NA,1
Black-headed Trogon,1,2,NA,NA,3
Collared Trogon,1,NA,NA,NA,1
Tody Motmot,4,NA,NA,NA,4
Lesson's Motmot,5,NA,NA,NA,5
Collared Aracari,3,2,NA,NA,5
Yellow-eared Toucanet,1,NA,NA,NA,1
Keel-billed Toucan,10,2,3,5,20
Yellow-throated Toucan,1,5,NA,NA,6
Golden-olive Woodpecker,2,NA,NA,NA,2
Pale-billed Woodpecker,2,NA,NA,1,3
Brown-hooded Parrot,4,NA,NA,NA,4
Long-tailed Manakin,9,NA,NA,NA,9
White-ruffed Manakin,1,NA,NA,NA,1
Stub-tailed Spadebill,2,NA,NA,NA,2
White-throated Spadebill,1,NA,NA,NA,1
Mountain Elaenia,8,NA,NA,NA,8
Mistletoe Tyrannulet,1,NA,NA,NA,1
Bright-rumped Attila,2,NA,NA,NA,2
Dusky-capped Flycatcher,3,NA,NA,NA,3
Great Kiskadee,1,3,NA,2,6
Streaked Flycatcher,1,NA,NA,NA,1
Yellow-bellied Flycatcher,1,NA,NA,NA,1
Dusky Antbird,3,NA,NA,NA,3
Spotted Antbird,10,NA,6,NA,16
Bicolored Antbird,3,NA,NA,NA,3
Ocellated Antbird,3,NA,NA,NA,3
Ruddy Woodcreeper,3,NA,NA,NA,3
Northern Barred-Woodcreeper,1,NA,NA,NA,1
Lesser Greenlet,19,NA,5,NA,24
Yellow-throated Vireo,2,NA,NA,NA,2
Philadelphia Vireo,3,NA,NA,NA,3
White-throated Magpie-Jay,3,3,NA,4,10
Nightingale Wren,4,NA,NA,NA,4
Cabanis's Wren,1,NA,NA,NA,1
White-breasted Wood-Wren,12,NA,3,NA,15
Black-faced Solitaire,2,NA,NA,NA,2
Wood Thrush,5,NA,NA,NA,5
Mountain Thrush,18,NA,NA,NA,18
White-throated Thrush,4,NA,NA,NA,4
Ovenbird,3,NA,NA,NA,3
Northern Waterthrush,2,NA,NA,NA,2
Black-and-white Warbler,2,NA,1,1,4
Tennessee Warbler,1,1,NA,NA,2
Gray-crowned Yellowthroat,3,NA,NA,2,5
Kentucky Warbler,1,NA,NA,NA,1
Yellow Warbler,2,5,NA,NA,7
Black-throated Green Warbler,1,NA,NA,NA,1
Buff-rumped Warbler,1,NA,NA,NA,1
Chestnut-capped Warbler,8,NA,NA,NA,8
Golden-crowned Warbler,7,NA,NA,NA,7
Hepatic Tanager,1,NA,NA,NA,1
Summer Tanager,1,2,NA,2,5
Western Tanager,1,NA,NA,NA,1
Red-crowned Ant-Tanager,2,NA,NA,NA,2
Turquoise-browed Motmot,1,NA,NA,NA,1
Golden-browed Chlorophonia,1,NA,NA,NA,1
Red-billed Pigeon,NA,3,NA,2,5
Inca Dove,NA,3,NA,2,5
Common Ground-Dove,NA,2,NA,NA,2
Ruddy Ground-Dove,NA,1,NA,NA,1
White-tipped Dove,NA,1,NA,1,2
White-winged Dove,NA,34,NA,1,35
Groove-billed Ani,NA,19,NA,3,22
Squirrel Cuckoo,NA,1,NA,1,2
Rufous-tailed Hummingbird,NA,1,1,NA,2
Great Blue Heron,NA,1,NA,NA,1
Little Blue Heron,NA,3,NA,1,4
Cattle Egret,NA,5,NA,NA,5
Black Vulture,NA,6,NA,23,29
Turkey Vulture,NA,19,NA,2,21
White-tailed Kite,NA,1,NA,NA,1
Gartered Trogon,NA,1,NA,NA,1
Black-cheeked Woodpecker,NA,2,NA,NA,2
Hoffmann's Woodpecker,NA,4,NA,NA,4
Orange-fronted Parakeet,NA,16,NA,NA,16
White-crowned Parrot,NA,3,6,NA,9
Red-lored Parrot,NA,4,NA,13,17
Mealy Parrot,NA,16,NA,1,17
Yellow-bellied Elaenia,NA,1,NA,NA,1
Boat-billed Flycatcher,NA,2,NA,NA,2
Social Flycatcher,NA,11,NA,1,12
Tropical Kingbird,NA,7,1,3,11
Gray-breasted Martin,NA,1,NA,NA,1
Bay Wren,NA,4,NA,NA,4
House Wren,NA,2,NA,NA,2
Clay-colored Thrush,NA,2,NA,NA,2
Yellow-throated Euphonia,NA,2,NA,NA,2
Montezuma Oropendola,NA,5,NA,1,6
Baltimore Oriole,NA,2,NA,NA,2
Bronzed Cowbird,NA,29,NA,NA,29
Melodious Blackbird,NA,2,NA,NA,2
Great-tailed Grackle,NA,9,NA,3,12
Mourning Warbler,NA,1,NA,NA,1
Chestnut-sided Warbler,NA,2,NA,NA,2
Rose-breasted Grosbeak,NA,2,NA,NA,2
Blue-gray Tanager,NA,3,NA,2,5
Golden-hooded Tanager,NA,2,NA,3,5
Blue-black Grassquit,NA,10,NA,NA,10
Crimson-collared Tanager,NA,5,NA,NA,5
Thick-billed Seed-Finch,NA,1,NA,4,5
Amazon Kingfisher,NA,NA,1,NA,1
Red-lored Amazon,NA,NA,4,NA,4
Orange-billed Sparrow,NA,NA,3,NA,3
Carmiol's Tanager,NA,NA,10,NA,10
Rufous-winged Tanager,NA,NA,2,1,3
Southern Lapwing,NA,NA,NA,1,1
Northern Jacana,NA,NA,NA,3,3
Magnificent Frigatebird,NA,NA,NA,1,1
Bare-throated Tiger-Heron,NA,NA,NA,1,1
Great Egret,NA,NA,NA,1,1
Broad-billed Motmot,NA,NA,NA,1,1
Ringed Kingfisher,NA,NA,NA,1,1
Crested Caracara,NA,NA,NA,3,3
Yellow-naped Parrot,NA,NA,NA,1,1
Sulphur-rumped Flycatcher,NA,NA,NA,1,1
Common Tody-Flycatcher,NA,NA,NA,3,3
Brown Jay,NA,NA,NA,1,1
Mangrove Swallow,NA,NA,NA,11,11
Blue-and-white Swallow,NA,NA,NA,2,2
Northern Rough-winged Swallow,NA,NA,NA,1,1
Tropical Mockingbird,NA,NA,NA,4,4
Olive-backed Euphonia,NA,NA,NA,1,1
Eastern Meadowlark,NA,NA,NA,6,6
Palm Tanager,NA,NA,NA,1,1
Scarlet-rumped Tanager,NA,NA,NA,1,1
Yellow-faced Grassquit,NA,NA,NA,12,12
Emerald Tanager,NA,NA,NA,3,3
Grayish Saltator,NA,NA,NA,1,1
