localidad,hora,especie,escuchado_visto,número,notas
Estación Leiva,6:27,Chestnut-sided Warbler,E,1,
Estación Leiva,6:27,Green Honeycreeper,V,1,in Conostegia tree
Estación Leiva,6:33,Pale-billed Woodpecker,E,1,
Estación Leiva,6:38,Common Pauraque,V,1,"on trail, flushed several times"
Estación Leiva,6:39,Chestnut-backed Antbird,E,2,
Estación Leiva,6:42,Montezuma Oropendola,V,1,flushed
Estación Leiva,6:42,Social Flycatcher,V,3,in fig tree
Estación Leiva,6:42,Rufous-tailed Hummingbird,V,1,in manzana de agua
Estación Leiva,6:44,Orange-chinned Parakeet,V,4,
Estación Leiva,6:49,White-fronted Parrot,E,1,
Estación Leiva,6:55,Squirrel Cuckoo,E/V,2,in ficus
Estación Leiva,6:57,Red-capped Manakin,V,2,"male/female, photo"
Estación Leiva,6:58,Chestnut-sided Warbler,V,1,
Estación Leiva,7:04,Squirrel Cuckoo,V,1,
Estación Leiva,7:07,Bay Wren,E,1,
Estación Leiva,7:17,Montezuma Oropendola,V,2,flyover
Estación Leiva,7:18,Stripe-throated Hermit,V,1,clear stripes on back of head
Estación Leiva,7:18,Orange-chinned Parakeet,V,6,flyover
Estación Leiva,7:29,Great Crested Flycatcher,E,1,
Estación Leiva,7:31,Common Pauraque,V,1,flushed on trail
Estación Leiva,7:31,Stripe-throated Hermit,V,1,
Estación Leiva,7:31,Crested Guan,E,1,
Estación Leiva,7:33,Streaked Flycatcher,V,1,"perched on leafless branch, photo"
Estación Leiva,7:35,Keel-billed Toucan,E,1,
Estación Leiva,7:47,Squirrel Cuckoo,V,2,
Estación Leiva,7:50,Bay Wren,E,1,long song
Estación Leiva,7:52,Short-billed Pigeon,V,2,in bare branches in tall tree
Estación Leiva,7:55,White-shouldered Tanager,V,1,white obvious on shoulders
Estación Leiva,7:55,White-lored Gnatcatcher,V,2,
Estación Leiva,7:56,Montezuma Oropendola,E,1,
Estación Leiva,7:59,Gartered Trogon,V,2,male/female
Estación Leiva,8:03,Keel-billed Toucan,V,2,
Estación Leiva,8:06,Black-crowned Antshrike,E/V,2,"male/female, trilling call"
Estación Leiva,8:06,White-browed Gnatcatcher,V,2,
Estación Leiva,8:08,Baltimore Oriole,V,1,
Estación Leiva,8:09,White-shouldered Tanager,V,1,
Estación Leiva,8:16,Blue Dacnis,V,2,male/female
Estación Leiva,8:27,Short-billed Pigeon,E,1,
Estación Leiva,8:50,Rufous Mourner,V,1,
Estación Leiva,8:53,Clay-colored Thrush,V,3,flyover
Estación Leiva,7:55,Long-billed Gnatwren,V,1,seen again at 09:27
Estación Leiva,9:06,Boat-billed Flycatcher,E,2,Maina has recording
Estación Leiva,9:08,Tropical Kingbird,V,2,high in leafless branches
Estación Leiva,9:09,Blue-gray Tanager,V,1,
Estación Leiva,9:10,Scarlet-rumped Tanager,V,1,
Estación Leiva,9:10,White-collared Manakin,V,5,"males and females, males lekking with clapping wings"
Estación Leiva,9:12,Silver-throated Tanager,V,2,miixed species flock
Estación Leiva,9:16,Clay-colored Thrush,V,1,
Estación Leiva,9:23,White-ruffed Manakin,V,1,
