localidad,hora,especie,escuchado_visto,numero,notas
,5:47,Crested Guan,V,1,
,5:48,Bananaquit,E,2,Merlin ID
,5:49,Common Chlorospingus,E,4,Merlin ID
,5:50,Slaty-capped Flycatcher,E,1,Merlin ID
,5:52,Gray-breasted Wood-Wren,E,2,
,5:53,Black-headed Antthrush,E,1,
,5:57,Crested Guan,V,1,
,5:58,Gray-breasted Wood-Wren,E,1,
,6:00,Tropical Parula,E,1,
,6:00,Prong-billed Barbet,E,2,
,6:02,Golden-crowned Warbler,V,1,
,6:03,Parrots,V,9,"Brown-headed? Smallish, high-pitched"
,6:06,Song Wren,E,1,
,6:07,Scale-crested Pygmy-Tyrant,E,1,
,6:07,Common Chlorospingus,E,4,
,6:07,Long-billed Gnatwren,E,,Merlin ID
,6:12,Azure-hooded Jay,E,2,
,6:14,Northern Emerald-Toucanet,V,2,
,6:15,Lesser Greenlet,E,1,
,6:16,Summer Tanager,E,1,
,6:20,Song Wren,E,1,
,6:23,Gray-breasted Wood-Wren,E,1,
,6:25,Short-billed Pigeon,E,1,
,6:29,Emerald Toucanet,V,1,
,6:31,Silver-throated Tanager,E,1,
,6:35,Zeledon's Antbird,E/V,1,
,6:31,Silver-throated Tanager,E,1,"Katy, confirmed Merlin ID"
,6:43,Chestnut-capped Brushfinch,V,1,
,6:38,Stripe-throated Hermit,V,1,
,6:45,Red-headed Barbet,V,2,
,6:45,Silver-throated Tanager,V,1,
,6:48,Gray-breasted Wood-Wren,E,2,
,6:54,Ornate Hawk-eagle,E,1,
,7:01,Chestnut-sided Warbler,V,2,
,7:07,Black-and-white Warbler,V,1,
,7:09,Gray-breasted Wood-Wren,E,2,
,6:59,Clay-colored Thrush,E,1,
,6:59,Tufted Flycatcher,V,2,
,7:11,Song Wren,E,1,
,7:11,Common Chlorospingus,E,1,
,7:14,Golden-olive Woodpecker,V,1,
,7:16,Azure-hooded Jay,E/V,3,
,7:23,Black-cheeked Woodpecker,V,1,
,7:20,Silver-throated Tanager,V,1,
,7:25,Squirrel Cuckoo,E,1,
,7:27,Gray-breasted Wood-Wren,E,1,
,7:30,White-throated Spadebill,E/V,1,
,7:33,Emerald Toucanet,V,1,
,7:34,Yellowish Flycatcher,V,1,
,7:26,Green Honeycreeper,V,1,
,7:36,Green Hermit,V,2,
,7:37,Collared Trogon,V,1,
,7:46,Stripe-throated Hermit,V,1,
,7:45,Green Hermit,V,1,at Malvaviscus flowers
,7:48,Golden-winged Warbler,V,1,
,7:50,Slate-throated Redstart,V,1,
,7:52,Rufous-browed Tyrannulet,V,1,
,7:53,Golden-crowned Warbler,V,2,
,7:54,Silver-throated Tanager,V,1,
,7:54,Common Chlorospingus,V,1,
,7:55,Lesser Greenlet,V,1,
,7:55,Tufted Flycatcher,E,1,
,7:57,Tropical Parula,V,2,
,7:57,Red-faced Spinetail,V,1,
,7:57,Slaty Spinetail,V,1,
,8:00,Tawny-capped Euphonia,V,1,
,8:02,Sooty-faced Finch,E/V,1,
,8:07,Zeledon's Antbird,V,1,
,8:08,Brown-billed Scythebill,V,1,
,8:09,Black-faced Solitaire,V,1,
,8:01,Scale-crested Pygmy-Tyrant,V,1,
,8:11,Plain Antvireo,V,1,
,8:01,Silver-throated Tanager,V,1,
,8:02,Buff-fronted Foliage-gleaner,V,1,
,7:58,,V,1,Woodcreeper spp.????
,8:13,Olive-striped Flycatcher,V,1,
,8:20,Slate-throated Redstart,V,1,
,8:20,Stripe-throated Hermit,V,1,
,8:23,Slaty-capped Flycatcher,V,1,
,8:24,Green Hermit,V,1,at Malvaviscus flowers
,8:25,Red-headed Barbet,V,1,male eating siparuna fruit
,8:25,Ochraceous Wren,V,2,
,8:47,Slaty-capped Flycatcher,,1,
,8:52,Song Wren,E,2,
,8:51,Broad-winged Hawk,V,1,
,9:07,Black-throated Green Warbler,V,1,
,9:07,Black-and-white Warbler,V,2,
,9:08,Common Chlorospingus,V,2,
,9:08,Gray-breasted Wood-Wren,E,1,
,9:08,Lesser Greenlet,V,1,
,9:09,Tropical Parula,V,1,
,9:09,Golden-crowned Warbler,V,1,
,9:10,Rufous-browed Tyrannulet,V,1,
,9:10,Slate-throated Redstart,V,1,
,9:11,Slaty-capped Flycatcher,V,1,
,9:12,Tufted Flycatcher,V,1,
,9:12,Slaty Antwren,V,2,female and male
,9:13,Russet Antshrike,V,1,
,9:14,Tropical Parula,V,1,
,9:17,Tufted Flycatcher,V,1,
,9:19,White-breasted Wood-Wren,E/V,1,
,9:25,Green Hermit,V,1,at quebrada
,9:39,Barred Hawk,E/V,1,over bananal
,9:43,Black Vulture,V,2,
,9:41,Green-crowned Brilliant,V,1,
,9:41,Golden-crowned Warbler,V,2,
,9:41,Slaty Antwren,V,1,
,9:41,Plain Antvireo,V,1,
,9:47,Ruby-throated Hummingbird,V,1,
,9:47,Green Hermit,V,1,
,10:06,Squirrel Cuckoo,E,1,
pasture,10:11,House Wren,E,2,
pasture,10:12,Melodious Blackbird,E/V,1,
pasture,10:13,Dusky-capped Flycatcher,E,1,
