Familia,Nombre científico,Nombre en inglés,"Nombre en español / (Común en
Costa Rica)",Total,Comentarios,sum_ind
Tinamidae,NA,NA,NA,NA,NA,NA
NA,Crypturellus cinnamomeus,Thicket Tinamou,"Tinamú Canelo (Gallina de monte, Gongolona, Perdiz)",NA,NA,NA
Anatidae,NA,NA,NA,NA,NA,NA
NA,Dendrocygna autumnalis,Black-bellied Whistling-Duck,"Pijije Común (Piche, Quichichi, Pichichi)",NA,NA,NA
NA,Cairina moschata,Muscovy Duck,Pato Real (Pato Perulero),NA,NA,NA
NA,Spatula discors,Blue-winged Teal,"Cerceta Aliazul (Pato Canadiense, Zarceta, Carraco)",NA,NA,NA
NA,Spatula clypeata,Northern Shoveler,Pato Cuchara (Carraco),NA,NA,NA
Cracidae,NA,NA,NA,NA,NA,NA
NA,Ortalis vetula,Plain Chachalaca,Chachalaca Olivácea (Chachalaca),NA,NA,NA
NA,Penelope purpurascens,Crested Guan,Pava Crestada (Pava Granadera),1,NA,1
NA,Crax rubra,Great Curassow,"Pavón Grande (Pavón, Granadera)",8,NA,8
Odontophoridae,NA,NA,NA,NA,NA,NA
NA,Colinus cristatus,Crested Bobwhite,Codorniz Crestada (Codorniz de Monte),NA,NA,NA
Podicipedidae,NA,NA,NA,NA,NA,NA
NA,Tachybaptus dominicus,Least Grebe,Zambullidor Enano,NA,NA,NA
Columbidae,NA,NA,NA,NA,NA,NA
NA,Patagioenas cayennensis,Pale-vented Pigeon,Paloma Colorada (Paloma Morada),NA,NA,NA
NA,Patagioenas speciosa,Scaled Pigeon,Paloma Escamosa (Paloma Morada),NA,NA,NA
NA,Patagioenas flavirostris,Red-billed Pigeon,Paloma Piquirroja (Paloma Morada Común),NA,NA,NA
NA,Patagioenas fasciata,Band-tailed Pigeon,Paloma Collareja,NA,NA,NA
NA,Patagioenas nigrirostris,Short-billed Pigeon,"Paloma Piquicorta (Paloma Morada, Dos-tontos-son)",NA,NA,NA
NA,Columbina inca,Inca Dove,"Tortolita Colilarga (San Juan, Tórtola)",6,NA,6
NA,Columbina passerina,Common Ground-Dove,"Tortolita Común (Tortolita, Palomita)",2,NA,1
NA,Columbina minuta,Plain-breasted Ground-Dove,"Tortolita Menuda (Tortolita, Conchita)",NA,NA,NA
NA,Columbina talpacoti,Ruddy Ground-Dove,"Tortolita Rojiza (Tortolita, Palomita Colorada)",NA,NA,2
NA,Claravis pretiosa,Blue Ground-Dove,Tortolita Azulada,NA,NA,NA
NA,Leptotila verreauxi,White-tipped Dove,"Paloma Coliblanca (Coliblanca, Yuré)",13,NA,13
NA,Leptotila cassinii,Gray-chested Dove,Paloma Pechigrís (Yuré),NA,NA,NA
NA,Leptotila plumbeiceps,Gray-headed Dove,Paloma Coronigrís (Yuré),NA,NA,NA
NA,Zenaida asiatica,White-winged Dove,Paloma Aliblanca (Arrocera),NA,NA,NA
NA,Zenaida macroura,Mourning Dove,Paloma Rabuda,NA,NA,NA
Cuculidae,NA,NA,NA,NA,NA,NA
NA,Crotophaga sulcirostris,Groove-billed Ani,"Garrapatero Piquiestriado (Tijo, Tinco, Zopilotillo)",3,NA,3
NA,Morococcyx erythropygus,Lesser Ground-Cuckoo,Cuclillo Sabanero (Horero),NA,NA,NA
NA,Piaya cayana,Squirrel Cuckoo,"Cuco Ardilla (Bobo Chiso, Cacao, San Miguel)",2,NA,2
NA,Coccyzus minor,Mangrove Cuckoo,Cuclillo de Antifaz,NA,NA,NA
Caprimulgidae,NA,NA,NA,NA,NA,NA
NA,Chordeiles acutipennis,Lesser Nighthawk,Añapero Menor (Gavilán),NA,NA,NA
NA,Chordeiles minor,Common Nighthawk,Añapero Zumbón,NA,NA,NA
NA,Nyctidromus albicollis,Common Pauraque,"Tapacaminos Común (Cuyeo, Pucuyo)",NA,NA,NA
NA,Antrostomus carolinensis,Chuck-will's-widow,Chotacabras de Paso,NA,NA,NA
Nyctibiidae,NA,NA,NA,NA,NA,NA
NA,Nyctibius grandis,Great Potoo,"Nictibio Grande (Pájaro Estaca, Leona, Bruja)",NA,NA,NA
NA,Nyctibius jamaicensis,Northern Potoo,"Nictibio Norteño (Pájaro Estaca, Gozona)",NA,NA,NA
Apodidae,NA,NA,NA,NA,NA,NA
NA,Streptoprocne zonaris,White-collared Swift,Vencejón Collarejo (Golondrón),6,NA,6
NA,Chaetura vauxi,Vaux's Swift,Vencejo Común,NA,NA,NA
Trochilidae,NA,NA,NA,NA,NA,NA
NA,Florisuga mellivora,White-necked Jacobin,Jacobino Nuquiblanco,NA,NA,NA
NA,Phaethornis striigularis,Stripe-throated Hermit,Ermitaño Enano,NA,NA,NA
NA,Anthracothorax prevostii,Green-breasted Mango,Colibrí Manguito Pechiverde,NA,NA,NA
NA,Heliomaster constantii,Plain-capped Starthroat,Colibrí Pochotero,1,NA,1
NA,Archilochus colubris,Ruby-throated Hummingbird,Colibrí Garganta de Rubí,2,NA,2
NA,Cynanthus canivetii,Canivet's Emerald,Esmeralda Rabihorcada,NA,NA,NA
NA,Phaeochroa cuvierii,Scaly-breasted Hummingbird,Colibrí Pechiescamado,NA,NA,NA
NA,Saucerottia hoffmanni,Blue-vented Hummingbird,Colibrí Culiazul (Gorrión),5,NA,5
NA,Amazilia rutila,Cinnamon Hummingbird,Colibrí Canelo (Gorrión),3,NA,3
NA,Amazilia tzacatl,Rufous-tailed Hummingbird,Colibrí Rabirrufo (Gorrión),NA,NA,NA
NA,Chlorestes eliciae,Blue-throated Goldentail,Colibrí Colidorado,NA,NA,NA
Rallidae,NA,NA,NA,NA,NA,NA
NA,Aramides albiventris,Russet-naped Wood-Rail,Rascón Pomponé,NA,NA,NA
NA,Porzana carolina,Sora,Polluela Sora,NA,NA,NA
