especie,sum_ind
Crested Guan,1
Great Curassow,8
Common Ground Dove,2
Inca Dove,6
White-tipped Dove,13
Groove-billed Ani,3
Squirrel Cuckoo,2
White-collared Swift,6
Blue-vented Hummingbird,5
Cinnamon Hummingbird,3
Plain-capped Starthroat,1
Ruby-throated Hummingbird,2
Bare-throated Tiger-Heron,3
Black Vulture,5
Turkey Vulture,2
Hook-billed Kite,1
Short-tailed Hawk,1
Pacific Screech-Owl,1
Spectacled Owl,1
Black-headed Trogon,2
Elegant Trogon,4
Gartered Trogon,4
Green Kingfisher,4
Hoffmann's Woodpecker,5
Laughing Falcon,1
Orange-chinned Parakeet,16
Orange-fronted Parakeet,2
White-fronted Parrot,38
Yellow-naped Parrot,20
Long-tailed Manakin,12
Boat-billed Flycatcher,2
Dusky-capped Flycatcher,3
Eastern Wood-Pewee,2
Great Crested Flycatcher,10
Mistletoe Tyrannulet,1
Northern Bentbill,1
Social Flycatcher,6
Tropical Pewee,1
Western Kingbird,2
Yellow-bellied Flycatcher,1
Yellow-olive Flycatcher,5
Barred Antshrike,7
Ruddy Woodcreeper,2
Streak-headed Woodcreeper,3
Lesser Greenlet,7
Philadelphia Vireo,3
Rufous-browed Peppershrike,1
Yellow-throated Vireo,5
White-throated Magpie-Jay,2
White-browed Gnatcatcher,3
Banded Wren,4
Rufous-naped Wren,11
Scrub Euphonia,2
Olive Sparrow,3
Stripe-headed Sparrow,4
American Redstart,3
Chestnut-capped Warbler,13
Northern Waterthrush,5
Tennessee Warbler,7
Summer Tanager,8
Black-and-White Warbler,3
Blue-throated Golden Tail,3
Cabanis Wren,9
Common Ground-Dove,1
Common Paraque,2
Common Tody Flycatcher,1
Northern Barred Woodcreeper,2
Northern Beardless Tyrannulet,1
Oliveacous Woodcreeper,1
Pale-billed Pigeon,1
Plain-capped Star Throat,1
Ruddy Ground-Dove,2
