especie,sum_ind
Crested Guan,2
Great Curassow,4
Inca Dove,8
Red-billed Pigeon,5
White-tipped Dove,7
White-winged Dove,14
Groove-billed Ani,5
Squirrel Cuckoo,5
Common Pauraque,11
Blue-vented Hummingbird,3
Cinnamon Hummingbird,1
Green-breasted Mango,2
Rufous-tailed Hummingbird,3
Magnificent Frigatebird,5
Little Blue Heron,1
White Ibis,2
Black Vulture,2
Turkey Vulture,3
Gray Hawk,4
Roadside Hawk,2
Ferruginous Pygmy-Owl,3
Pacific Screech-Owl,3
Black-headed Trogon,5
Green Kingfisher,1
White-necked Puffbird,2
Hoffmann's Woodpecker,5
Pale-billed Woodpecker,3
Laughing Falcon,2
Orange-chinned Parakeet,43
Orange-fronted Parakeet,22
White-fronted Parrot,16
Yellow-naped Parrot,46
Long-tailed Manakin,3
Rose-throated Becard,1
Boat-billed Flycatcher,6
Brown-crested Flycatcher,1
Dusky-capped Flycatcher,1
Great Crested Flycatcher,12
Great Kiskadee,4
Social Flycatcher,1
Yellow-bellied Flycatcher,1
Barred Antshrike,1
Streak-headed Woodcreeper,1
Lesser Greenlet,1
Yellow-throated Vireo,3
White-throated Magpie-Jay,17
White-browed Gnatcatcher,2
White-lored Gnatcatcher,4
Banded Wren,7
Rufous-naped Wren,8
Clay-colored Thrush,4
Scrub Euphonia,4
Stripe-headed Sparrow,4
Baltimore Oriole,1
Melodious Blackbird,5
Streak-backed Oriole,1
Yellow Warbler,7
Painted Bunting,4
Summer Tanager,6
Western Tanager,2
Western Cattle Egret,4
Yellow-olive Flatbill,3
