especie,sum_ind
Crested Guan,2
Short-billed Pigeon,8
Squirrel Cuckoo,2
Coppery-headed Emerald,2
Crowned Woodnymph,3
Green Hermit,6
Green-crowned Brilliant,1
Ruby-throated Hummingbird,1
Stripe-throated Hermit,3
White-throated Crake,1
Black Vulture,2
Turkey Vulture,1
Barred Hawk,1
Broad-winged Hawk,2
Great Black Hawk,1
Collared Trogon,1
Broad-billed Motmot,1
Red-headed Barbet,3
Prong-billed Barbet,2
Northern Emerald-Toucanet,4
Black-cheeked Woodpecker,2
Golden-olive Woodpecker,1
Dusky-capped Flycatcher,2
Olive-striped Flycatcher,1
Rufous-browed Tyrannulet,3
Scale-crested Pygmy-Tyrant,2
Slaty-capped Flycatcher,5
Social Flycatcher,4
Tropical Kingbird,2
Tufted Flycatcher,5
White-throated Spadebill,1
Yellow-bellied Flycatcher,1
Yellowish Flycatcher,1
Dusky Antbird,1
Plain Antvireo,3
Russet Antshrike,1
Slaty Antwren,3
Zeledon's Antbird,2
Black-headed Antthrush,2
Brown-billed Scythebill,1
Buff-fronted Foliage-gleaner,1
Red-faced Spinetail,1
Scaly-throated Foliage-gleaner,1
Slaty Spinetail,1
Spotted Barbtail,1
Lesser Greenlet,3
Yellow-throated Vireo,1
Azure-hooded Jay,7
Brown Jay,4
Long-billed Gnatwren,NA
Band-backed Wren,2
Gray-breasted Wood-Wren,10
House Wren,3
Ochraceous Wren,2
Song Wren,5
White-breasted Wood-Wren,3
Black-faced Solitaire,1
Clay-colored Thrush,2
Slaty-backed Nightingale-Thrush,1
Tawny-capped Euphonia,1
Yellow-crowned Euphonia,3
Yellow-throated Euphonia,2
Chestnut-capped Brushfinch,1
Common Chlorospingus,12
Orange-billed Sparrow,1
Sooty-faced Finch,1
Melodious Blackbird,5
Black-and-white Warbler,4
Black-throated Green Warbler,1
Blackburnian Warbler,1
Chestnut-sided Warbler,5
Golden-crowned Warbler,9
Golden-winged Warbler,1
Slate-throated Redstart,3
Tropical Parula,8
Wilson's Warbler,3
Hepatic Tanager,1
Summer Tanager,2
Bananaquit,3
Bay-headed Tanager,2
Buff-throated Saltator,1
Green Honeycreeper,1
Palm Tanager,2
Scarlet-rumped Tanager,4
Silver-throated Tanager,7
Yellow-faced Grassquit,2
Emerald Toucanet,2
Ornate Hawk-eagle,1
Parrots,9
NA,87
