especie,sum_ind
Short-billed Pigeon,2
White-tipped Dove,1
White-winged Dove,4
Groove-billed Ani,10
Squirrel Cuckoo,1
Green Hermit,1
Long-billed Hermit,2
Rufous-tailed Hummingbird,4
Scaly-breasted Hummingbird,1
Stripe-throated Hermit,1
White-necked Jacobin,1
Southern Lapwing,5
Northern Jacana,1
Black Vulture,7
King Vulture,1
Turkey Vulture,4
Gray Hawk,1
Short-tailed Hawk,1
Collared Trogon,1
White-whiskered Puffbird,1
Collared Aracari,1
Keel-billed Toucan,7
Yellow-throated Toucan,1
Black-cheeked Woodpecker,1
Hoffmann's Woodpecker,1
Olivaceous Piculet,1
Smoky-brown Woodpecker,1
Laughing Falcon,2
Orange-chinned Parakeet,26
Red-lored Parrot,9
Long-tailed Manakin,1
White-collared Manakin,3
White-ruffed Manakin,2
Cinnamon Becard,1
Masked Tityra,1
White-winged Becard,1
Sulphur-rumped Flycatcher,1
Black-headed Tody-Flycatcher,2
Common Tody-Flycatcher,4
Gray-capped Flycatcher,9
Gray-headed Piprites,1
Great Kiskadee,4
Olive-sided Flycatcher,2
Social Flycatcher,6
Tropical Kingbird,12
Yellow Tyrannulet,4
Barred Antshrike,5
Dot-winged Antwren,1
Fasciated Antshrike,1
White-flanked Antwren,2
Ruddy Woodcreeper,1
Spotted Woodcreeper,1
Streak-headed Woodcreeper,1
Wedge-billed Woodcreeper,2
Lesser Greenlet,4
Yellow-throated Vireo,5
Blue-and-white Swallow,18
Mangrove Swallow,3
Southern Rough-winged Swallow,12
Bay Wren,2
House Wren,5
White-breasted Wood-Wren,6
Clay-colored Thrush,7
Wood Thrush,1
Olive-backed Euphonia,2
Tawny-capped Euphonia,1
Yellow-throated Euphonia,1
Black-striped Sparrow,1
Common Chlorospingus,5
Baltimore Oriole,2
Black-cowled Oriole,2
Great-tailed Grackle,2
Montezuma Oropendola,7
Black-and-white Warbler,2
Buff-rumped Warbler,1
Chestnut-sided Warbler,6
Ovenbird,1
Slate-throated Redstart,1
Tennessee Warbler,3
Yellow Warbler,4
Summer Tanager,3
Bananaquit,5
Bay-headed Tanager,1
Blue-black Grassquit,1
Blue-gray Tanager,2
Buff-throated Saltator,4
Golden-hooded Tanager,4
Green Honeycreeper,1
Morelet's Seedeater,2
Red-legged Honeycreeper,1
Scarlet-rumped Tanager,21
Variable Seedeater,18
White-shouldered Tanager,2
Yellow-faced Grassquit,3
Ruddy Ground-Dove,4
NA,1
